ambiguity,length,finality,resolution,region,cor_estimate,r_2,cor_p_value,rmse,resid_mean
all,all,all,all,non-critical,0.611786134064207,0.374282273833228,4.59565759850795e-111,199.611034399193,4.05478470966481
unambiguous,all,all,comma,critical,-0.0080860984228939,6.53849877047273e-05,0.966173407247837,462.782752939485,331.154371689016
unambiguous,all,all,object,critical,0.646503195529564,0.417966381829938,0.0001134617293811,161.615816261854,-3.04862115928313
ambiguous,all,all,all,critical,0.077477828036377,0.0060028138372344,0.556262715419503,587.221460698647,468.949872434851
ambiguous,long,nonfinal,all,critical,-0.0262652332214722,0.0006898624761783,0.907634105016476,648.632533831157,513.14635644749
ambiguous,short,nonfinal,all,critical,0.118520770980104,0.0140471731537182,0.599360913227152,601.601180375679,522.400232772772
