ambiguity,length,finality,resolution,region,cor_estimate,r_2,cor_p_value,rmse,resid_mean
all,all,all,all,non-critical,0.301600781500541,0.090963031401737,1.19097761266629e-24,73.7896629009845,7.22802096132114
unambiguous,all,nonfinal,all,critical,0.228594878456538,0.0522556184565594,0.0058545445009668,70.4922274070024,16.9036289834476
unambiguous,all,final,all,critical,0.376836853737309,0.142006014334634,3.23310681903175e-06,300.780273769003,232.296870155608
unambiguous,all,nonfinal,object,critical,0.186608825525349,0.0348228537639501,0.116522753894109,57.6491119588112,7.09527640889157
unambiguous,all,nonfinal,comma,critical,0.273215783431955,0.074646864316337,0.0202270749493762,81.3319625975025,26.7119815580037
ambiguous,all,nonfinal,all,critical,0.313324413233569,0.09817218792816,0.0073631111569462,105.816955488916,61.0577745301776
ambiguous,all,final,all,critical,0.510771650703056,0.260887679161924,5.3372794789372e-06,428.101938330328,362.423741553245
ambiguous,short,nonfinal,all,critical,0.285827497948846,0.0816973585836974,0.0910467873938367,109.002741726445,63.0742314755281
ambiguous,long,nonfinal,all,critical,0.347996082620514,0.121101273519224,0.0375444362369623,102.532231195876,59.0413175848272
